Edge ID,Number of Vehicles,Ratio
-201089423#1,285,0.06658878504672897
-201089423#2,287,0.06705607476635514
-201201945#0,168,0.03925233644859813
-201201945#0.78,164,0.038317757009345796
-201201945#1,160,0.037383177570093455
-201201945#2,151,0.0352803738317757
-201201945#6,138,0.032242990654205606
-201201945#7,136,0.03177570093457944
-201201945#8,133,0.03107476635514019
-201238718#0,74,0.017289719626168223
-201238718#1,78,0.01822429906542056
-201238724,18,0.004205607476635514
-201238726#0,200,0.04672897196261682
-201238726#0.98,194,0.04532710280373832
-201238726#1,3,0.0007009345794392523
-201950247#0,5,0.0011682242990654205
-201950247#3,1,0.00023364485981308412
-201950247#4,4,0.0009345794392523365
-201950247#5,5,0.0011682242990654205
-201950247#6,4,0.0009345794392523365
-201950247#7,1,0.00023364485981308412
-201950247#8,1,0.00023364485981308412
-201950250#0,7,0.0016355140186915889
-201950250#1,1,0.00023364485981308412
-201950250#2,2,0.00046728971962616824
-201950259#3,22,0.0051401869158878505
-201950259#6,21,0.004906542056074766
-201950263#10,45,0.010514018691588784
-201950263#6,53,0.012383177570093457
-201963522#0,4,0.0009345794392523365
-201963522#1,3,0.0007009345794392523
-201963522#2,3,0.0007009345794392523
-201963522#3,5,0.0011682242990654205
-201963522#4,6,0.0014018691588785046
-201963522#5,15,0.0035046728971962616
-201963522#9,16,0.003738317757009346
-201963533#0,208,0.048598130841121495
-201963533#1,318,0.07429906542056075
-201963533#1.120,317,0.07406542056074766
-201963533#1.145,318,0.07429906542056075
-201963533#4,316,0.07383177570093458
-201963533#5,316,0.07383177570093458
-202092675.36,3,0.0007009345794392523
-218647947#1,3,0.0007009345794392523
-218647954,1,0.00023364485981308412
-224251774#0,181,0.042289719626168225
-224251774#1,181,0.042289719626168225
-224251776#1,124,0.02897196261682243
-224892339#3,15,0.0035046728971962616
-224892361#1,113,0.026401869158878506
-224892361#2,112,0.026168224299065422
-224892361#6,107,0.025
-224892361#8,107,0.025
-22690205#1,11,0.0025700934579439253
-22690205#2,7,0.0016355140186915889
-22690205#3,3,0.0007009345794392523
-22690206#0,7,0.0016355140186915889
-22690206#1,4,0.0009345794392523365
-22690206#2,3,0.0007009345794392523
-22716069#0,158,0.03691588785046729
-22716069#1,159,0.037149532710280375
-22716069#2,152,0.03551401869158879
-22716072#3,2,0.00046728971962616824
-22716072#5,2,0.00046728971962616824
-22716073,4,0.0009345794392523365
-22716549#6,13,0.0030373831775700934
-22724699#1,20,0.004672897196261682
-22724699#11,13,0.0030373831775700934
-22724699#2,15,0.0035046728971962616
-22724699#6,13,0.0030373831775700934
-22879845,0,0.0
-233675413#0,297,0.06939252336448598
-233675413#1,298,0.06962616822429907
-233675413#2,146,0.03411214953271028
-233675413#3,96,0.022429906542056073
-233675413#6,138,0.032242990654205606
-233675413#8,137,0.032009345794392526
-23436553#1,3,0.0007009345794392523
-23436553#2,6,0.0014018691588785046
-23436553#3,2,0.00046728971962616824
-23436553#4,0,0.0
-23525483#0,3,0.0007009345794392523
-23525483#5,4,0.0009345794392523365
-23525483#6,4,0.0009345794392523365
-23525483#7,4,0.0009345794392523365
-24608844,0,0.0
-24608845,4,0.0009345794392523365
-24608846#0,2,0.00046728971962616824
-24608846#1,1,0.00023364485981308412
-24634411,4,0.0009345794392523365
-24634413#0,4,0.0009345794392523365
-24634413#1,17,0.00397196261682243
-24634413#2,18,0.004205607476635514
-24634414#0,5,0.0011682242990654205
-24634414#1,2,0.00046728971962616824
-24634414#2,2,0.00046728971962616824
-24634414#3,6,0.0014018691588785046
-24634414#4,6,0.0014018691588785046
-24634414#5,24,0.005607476635514018
-24634415,3,0.0007009345794392523
-24634417,2,0.00046728971962616824
-24634505,92,0.02149532710280374
-24634506#0,9,0.002102803738317757
-24634506#1,8,0.001869158878504673
-24634506#2,7,0.0016355140186915889
-24634507,14,0.0032710280373831778
-24634508,13,0.0030373831775700934
-24634509#0,9,0.002102803738317757
-24634509#7,7,0.0016355140186915889
-24634510#0,96,0.022429906542056073
-24634510#15,91,0.021261682242990656
-24634510#18,88,0.020560747663551402
-24634510#5,96,0.022429906542056073
-24634510#6,87,0.02032710280373832
-24634510#8,90,0.02102803738317757
-24634511,9,0.002102803738317757
-24634513#5,5,0.0011682242990654205
-24634513#6,0,0.0
-24634514#1,2,0.00046728971962616824
-24634516#0,0,0.0
-24634516#1,1,0.00023364485981308412
-24634516#2,1,0.00023364485981308412
-24634517#12,4,0.0009345794392523365
-24634517#16,4,0.0009345794392523365
-24634517#17,4,0.0009345794392523365
-24634517#18,4,0.0009345794392523365
-24634517#19,4,0.0009345794392523365
-24634517#3,9,0.002102803738317757
-24634517#5,5,0.0011682242990654205
-24634517#7,6,0.0014018691588785046
-24634517#8,4,0.0009345794392523365
-24634518#0,1,0.00023364485981308412
-24634518#1,1,0.00023364485981308412
-24634518#2,1,0.00023364485981308412
-24634519,2,0.00046728971962616824
-24634521#0,0,0.0
-24634521#1,2,0.00046728971962616824
-24634521#2,3,0.0007009345794392523
-24693977#0,161,0.03761682242990654
-24693977#1,162,0.03785046728971963
-25117391#1,56,0.013084112149532711
-25117391#2,54,0.012616822429906542
-25117417#0,0,0.0
-25117417#1,2,0.00046728971962616824
-25122731#1,19,0.0044392523364485985
-25136986,4,0.0009345794392523365
-25145011#0,1,0.00023364485981308412
-25145011#2,0,0.0
-25145012#0,6,0.0014018691588785046
-25145012#1,4,0.0009345794392523365
-25145012#2,5,0.0011682242990654205
-25145012#3,9,0.002102803738317757
-25145012#4,9,0.002102803738317757
-25145012#5,17,0.00397196261682243
-25145012#6,17,0.00397196261682243
-25145013#0,10,0.002336448598130841
-25145013#1,22,0.0051401869158878505
-25145014#0,1,0.00023364485981308412
-25145014#1,3,0.0007009345794392523
-25145014#2,1,0.00023364485981308412
-25145014#3,5,0.0011682242990654205
-25145014#4,6,0.0014018691588785046
-25149001#4,3,0.0007009345794392523
-25149001#5,3,0.0007009345794392523
-25187889,3,0.0007009345794392523
-25187891,3,0.0007009345794392523
-25187892,0,0.0
-25187893,7,0.0016355140186915889
-25187895#0,3,0.0007009345794392523
-25187895#1,3,0.0007009345794392523
-25187896,0,0.0
-25190140#1,2,0.00046728971962616824
-25190140#2,2,0.00046728971962616824
-25209894#0,1,0.00023364485981308412
-25209894#1,5,0.0011682242990654205
-26642362#0,3,0.0007009345794392523
-26642362#1,6,0.0014018691588785046
-26642362#2,6,0.0014018691588785046
-26642362#3,8,0.001869158878504673
-26642362#5,9,0.002102803738317757
-26642363,2,0.00046728971962616824
-266565295#5,172,0.04018691588785047
-26676668,0,0.0
-26677213#5,26,0.006074766355140187
-26677214#2,10,0.002336448598130841
-26677214#3,9,0.002102803738317757
-26677214#4,4,0.0009345794392523365
-26677214#5,2,0.00046728971962616824
-26677216#0,6,0.0014018691588785046
-26677216#1,5,0.0011682242990654205
-26677216#2,5,0.0011682242990654205
-26677216#4,6,0.0014018691588785046
-26677416#0,0,0.0
-26677416#1,3,0.0007009345794392523
-26677416#3,4,0.0009345794392523365
-26677416#7,6,0.0014018691588785046
-26677417#0,9,0.002102803738317757
-26677417#1,8,0.001869158878504673
-26677539,3,0.0007009345794392523
-26677540#0,8,0.001869158878504673
-26677540#1,7,0.0016355140186915889
-26677540#2,9,0.002102803738317757
-26677541,1,0.00023364485981308412
-26677542#0,11,0.0025700934579439253
-26677542#1,10,0.002336448598130841
-26678225,1,0.00023364485981308412
-28111977#0,1,0.00023364485981308412
-28111977#1,1,0.00023364485981308412
-28111977#10,4,0.0009345794392523365
-28111977#2,0,0.0
-28111977#3,0,0.0
-28111977#4,1,0.00023364485981308412
-28111977#5,2,0.00046728971962616824
-28111977#6,3,0.0007009345794392523
-28111977#7,1,0.00023364485981308412
-28111977#8,0,0.0
-28111977#9,6,0.0014018691588785046
-28319300#2,8,0.001869158878504673
-285549250#1,214,0.05
-286646456#0,181,0.042289719626168225
-286646456#2,239,0.055841121495327106
-30482614,19,0.0044392523364485985
-30482615#4,20,0.004672897196261682
-306240162#1,532,0.12429906542056075
-31395281,2,0.00046728971962616824
-315358242#0,295,0.0689252336448598
-315358242#1,294,0.06869158878504673
-315358242#2,302,0.0705607476635514
-315358244,361,0.08434579439252336
-315358245,249,0.05817757009345794
-315358246,382,0.08925233644859813
-315358248#1,239,0.055841121495327106
-315358250#0,355,0.08294392523364486
-315358250#1,161,0.03761682242990654
-315358251#0,301,0.07032710280373831
-315358251#1,13,0.0030373831775700934
-315358252#1,388,0.09065420560747664
-315358253#0,239,0.055841121495327106
-315358253#1,238,0.05560747663551402
-315358253#2,237,0.05537383177570093
-315358254#1,345,0.08060747663551401
-315358255#4,251,0.058644859813084114
-315358257#0.26,207,0.04836448598130841
-315358257#2,205,0.04789719626168224
-315358258,41,0.009579439252336449
-315392062#4,162,0.03785046728971963
-31860333#0,0,0.0
-31860333#1,0,0.0
-31860333#2,0,0.0
-31860333#3,0,0.0
-31860333#4,0,0.0
-32124743,192,0.044859813084112146
-32124744,287,0.06705607476635514
-32124745,237,0.05537383177570093
-32395288#1,1,0.00023364485981308412
-32395288#2,1,0.00023364485981308412
-32395288#3,1,0.00023364485981308412
-32395327#1,1,0.00023364485981308412
-32395352#1,0,0.0
-32395361#1,1,0.00023364485981308412
-32395414#0,1,0.00023364485981308412
-32395414#1,1,0.00023364485981308412
-32395464,0,0.0
-32978638#0,259,0.06051401869158878
-32999434#1,267,0.06238317757009346
-36962701#0,2,0.00046728971962616824
-36962701#1,1,0.00023364485981308412
-37386279,18,0.004205607476635514
-37681424#0,38,0.008878504672897197
-37681424#1,38,0.008878504672897197
-37681425#4,0,0.0
-37681425#6,0,0.0
-37681425#7,10,0.002336448598130841
-379510292,6,0.0014018691588785046
-379897806,364,0.08504672897196262
-393420106#1,4,0.0009345794392523365
-399835085#0,37,0.008644859813084112
-40888350,6,0.0014018691588785046
-40888351#0,3,0.0007009345794392523
-40888351#2,13,0.0030373831775700934
-40888351#6,16,0.003738317757009346
-40888354#0,3,0.0007009345794392523
-40888354#1,3,0.0007009345794392523
-40888354#2,4,0.0009345794392523365
-40888356#6,2,0.00046728971962616824
-40888359,0,0.0
-40888443,2,0.00046728971962616824
-41203916#3,1,0.00023364485981308412
-41203918#1,0,0.0
-447569997#0,66,0.01542056074766355
-447569998#1,131,0.030607476635514018
-4942389#0,3,0.0007009345794392523
-4942389#1,113,0.026401869158878506
-53396619#1,0,0.0
-53396619#2,1,0.00023364485981308412
-53396619#3,5,0.0011682242990654205
-53396619#4,4,0.0009345794392523365
-53396619#5,0,0.0
-53396619#6,11,0.0025700934579439253
-54169231#0,8,0.001869158878504673
-54169231#1,5,0.0011682242990654205
-54169231#2,5,0.0011682242990654205
-612075153#0,154,0.035981308411214954
-612075153#1,149,0.034813084112149534
-653473568#0,147,0.03434579439252337
-653473568#1,150,0.035046728971962614
-653473569#0,151,0.0352803738317757
-653473569#1,151,0.0352803738317757
-653473569#2,303,0.07079439252336449
-653473569#4,304,0.07102803738317758
-653473569#5,440,0.102803738317757
-83304175#2,46,0.01074766355140187
-93386922,0,0.0
104010354,353,0.0824766355140187
104010439#1,3,0.0007009345794392523
104010460#1,1,0.00023364485981308412
104010475#0,233,0.0544392523364486
104012170,232,0.05420560747663551
10425609#0,230,0.053738317757009345
10425609#1,41,0.009579439252336449
10427692#0,134,0.03130841121495327
10427692#2,132,0.0308411214953271
10427692#3,132,0.0308411214953271
10427692#4,132,0.0308411214953271
10427692#5,133,0.03107476635514019
10427692#6,135,0.03154205607476635
10427692#7,136,0.03177570093457944
10427692#7.50,61,0.01425233644859813
10427692#8,5,0.0011682242990654205
118362731,0,0.0
120125554,2,0.00046728971962616824
124812856#0,324,0.07570093457943926
124812856#1,23,0.005373831775700935
124812857#0,455,0.10630841121495327
128361102#0,234,0.054672897196261686
128361109#1,380,0.08878504672897196
128361109#3,380,0.08878504672897196
128361109#4,6,0.0014018691588785046
128906555,286,0.06682242990654205
128906569#10,0,0.0
129379918#0,300,0.07009345794392523
129379920#0,78,0.01822429906542056
129379920#1,305,0.07126168224299065
129379921#0,304,0.07102803738317758
129379921#1,304,0.07102803738317758
129379922,307,0.07172897196261682
129379925,315,0.07359813084112149
129379967#0,76,0.017757009345794394
129379968,45,0.010514018691588784
136436466,328,0.07663551401869159
136436468#0,1,0.00023364485981308412
136436468#1,22,0.0051401869158878505
137132992#0,0,0.0
137132993#0,7,0.0016355140186915889
137132994#0,0,0.0
137132994#1,11,0.0025700934579439253
137132994#2,0,0.0
137132996,6,0.0014018691588785046
137132997,0,0.0
137132998,0,0.0
137133006#0,447,0.1044392523364486
137133006#1,358,0.08364485981308412
137454133#0,0,0.0
137454133#1,1,0.00023364485981308412
137454133#2,1,0.00023364485981308412
137685155#0,8,0.001869158878504673
138300620#0,11,0.0025700934579439253
160314345#0,8,0.001869158878504673
160314345#1,5,0.0011682242990654205
160314345#2,6,0.0014018691588785046
160314345#3,5,0.0011682242990654205
160314345#4,7,0.0016355140186915889
160314345#5,7,0.0016355140186915889
160314346#0,87,0.02032710280373832
160314346#1,93,0.021728971962616823
160314351#0,7,0.0016355140186915889
160314351#1,6,0.0014018691588785046
164051413,277,0.0647196261682243
164078530,5,0.0011682242990654205
168702039#1,301,0.07032710280373831
168702040#1,9,0.002102803738317757
168702040#2,409,0.0955607476635514
168702040#3,410,0.09579439252336448
168702040#4,316,0.07383177570093458
170018165#0,254,0.05934579439252336
170018165#1,116,0.027102803738317756
170018165#2,185,0.04322429906542056
170018165#2.175,185,0.04322429906542056
170425366#0,1,0.00023364485981308412
172488482#0,95,0.02219626168224299
172488483#0,46,0.01074766355140187
172493341#1,0,0.0
173177776#0,2,0.00046728971962616824
173203413#0,10,0.002336448598130841
174800513,236,0.05514018691588785
175770996#0,16,0.003738317757009346
176550246,285,0.06658878504672897
176550249#0,563,0.13154205607476635
176550249#1,566,0.1322429906542056
176550249#2,558,0.13037383177570094
176550249#3,559,0.13060747663551403
176550249#4,564,0.13177570093457944
186865419#1,0,0.0
18809672#0,41,0.009579439252336449
18809672#2,41,0.009579439252336449
18809672#5,4,0.0009345794392523365
18809672#6,4,0.0009345794392523365
18809672#7,5,0.0011682242990654205
18809673#0,165,0.038551401869158876
18813598#0,172,0.04018691588785047
18813598#2,173,0.04042056074766355
18813598#7,175,0.04088785046728972
18813598#8,176,0.041121495327102804
201089420#0,513,0.11985981308411214
201089423#0,159,0.037149532710280375
201089423#2,164,0.038317757009345796
201143839,0,0.0
201143840,7,0.0016355140186915889
201201935#0,5,0.0011682242990654205
201201945#0,509,0.11892523364485981
201201945#1,474,0.11074766355140186
201201945#2,506,0.11822429906542056
201201945#3,511,0.11939252336448598
201201945#7,510,0.1191588785046729
201201945#8,516,0.1205607476635514
201201950#0,653,0.15257009345794392
201201950#1,650,0.15186915887850466
201201950#2,612,0.14299065420560747
201201950#3,649,0.15163551401869158
201201950#4,644,0.15046728971962617
201201953#0,368,0.08598130841121496
201201953#10,366,0.08551401869158878
201201953#12,362,0.08457943925233645
201201953#2,364,0.08504672897196262
201201953#4,368,0.08598130841121496
201234440,6,0.0014018691588785046
201238718#0,242,0.05654205607476635
201238718#1,253,0.05911214953271028
201238719#0,294,0.06869158878504673
201238724,29,0.006775700934579439
201238726#0,168,0.03925233644859813
201238726#0.117,145,0.03387850467289719
201238726#1,2,0.00046728971962616824
201238729#1,5,0.0011682242990654205
201238729#2,2,0.00046728971962616824
201238729#3,295,0.0689252336448598
201238730,306,0.07149532710280374
201950247#0,2,0.00046728971962616824
201950247#1,0,0.0
201950247#3,1,0.00023364485981308412
201950247#4,19,0.0044392523364485985
201950247#5,18,0.004205607476635514
201950247#6,18,0.004205607476635514
201950247#7,19,0.0044392523364485985
201950247#8,21,0.004906542056074766
201950250#0,13,0.0030373831775700934
201950250#1,4,0.0009345794392523365
201950250#2,2,0.00046728971962616824
201950259#0,18,0.004205607476635514
201950259#4,17,0.00397196261682243
201950263#0,82,0.019158878504672898
201950263#7,77,0.017990654205607477
201956810,34,0.00794392523364486
201956811#0,195,0.0455607476635514
201956819#0,286,0.06682242990654205
201956820,275,0.06425233644859812
201956821#0,339,0.07920560747663552
201956821#1.68,339,0.07920560747663552
201963522#0,4,0.0009345794392523365
201963522#1,5,0.0011682242990654205
201963522#2,5,0.0011682242990654205
201963522#3,4,0.0009345794392523365
201963522#4,5,0.0011682242990654205
201963522#5,43,0.010046728971962618
201963522#6,42,0.009813084112149532
201963533#0,125,0.029205607476635514
201963533#1,295,0.0689252336448598
201963533#4,290,0.06775700934579439
201963533#5,291,0.06799065420560747
201963535,158,0.03691588785046729
201963537#1,458,0.10700934579439253
202070434#0,7,0.0016355140186915889
202070434#2,6,0.0014018691588785046
202092675,276,0.06448598130841121
202092676#0,332,0.07757009345794393
204588664#0,11,0.0025700934579439253
218647954,1,0.00023364485981308412
224251774#0,124,0.02897196261682243
224251774#1,125,0.029205607476635514
224251776#0,181,0.042289719626168225
224892339#0,6,0.0014018691588785046
224892361#1,55,0.012850467289719626
224892361#2,56,0.013084112149532711
224892361#3,60,0.014018691588785047
224892361#7,63,0.014719626168224299
22690205#0,4,0.0009345794392523365
22690205#2,0,0.0
22690205#3,2,0.00046728971962616824
22690206#0,1,0.00023364485981308412
22690206#1,2,0.00046728971962616824
22690206#2,2,0.00046728971962616824
22716069#0,264,0.0616822429906542
22716069#1,261,0.060981308411214956
22716069#2,69,0.016121495327102803
22716072#0,0,0.0
22716072#4,3,0.0007009345794392523
22716073,0,0.0
22716549#0,8,0.001869158878504673
22724699#0,2,0.00046728971962616824
22724699#2,5,0.0011682242990654205
22724699#3,9,0.002102803738317757
22724699#7,8,0.001869158878504673
22879845,5,0.0011682242990654205
23166741#0,660,0.1542056074766355
23166741#2,660,0.1542056074766355
23166741#5,657,0.15350467289719627
233675413#0,284,0.06635514018691589
233675413#1,284,0.06635514018691589
233675413#2,22,0.0051401869158878505
233675413#3,15,0.0035046728971962616
233675413#4,22,0.0051401869158878505
233675413#7,22,0.0051401869158878505
23436553#0,4,0.0009345794392523365
23436553#2,1,0.00023364485981308412
23436553#3,4,0.0009345794392523365
23436553#4,2,0.00046728971962616824
23525483#0,7,0.0016355140186915889
23525483#1,4,0.0009345794392523365
23525483#6,2,0.00046728971962616824
23525483#7,3,0.0007009345794392523
24599188#0.94,103,0.024065420560747664
24608844,4,0.0009345794392523365
24608845,8,0.001869158878504673
24608846#0,4,0.0009345794392523365
24608846#1,4,0.0009345794392523365
24634411,6,0.0014018691588785046
24634413#0,3,0.0007009345794392523
24634413#1,2,0.00046728971962616824
24634413#2,1,0.00023364485981308412
24634414#0,2,0.00046728971962616824
24634414#1,1,0.00023364485981308412
24634414#2,6,0.0014018691588785046
24634414#3,3,0.0007009345794392523
24634414#4,3,0.0007009345794392523
24634414#5,5,0.0011682242990654205
24634414#5.51,2,0.00046728971962616824
24634415,2,0.00046728971962616824
24634416,7,0.0016355140186915889
24634417,2,0.00046728971962616824
24634505,67,0.015654205607476636
24634506#0,7,0.0016355140186915889
24634506#1,7,0.0016355140186915889
24634506#2,6,0.0014018691588785046
24634507,9,0.002102803738317757
24634508,8,0.001869158878504673
24634509#0,7,0.0016355140186915889
24634509#1,12,0.002803738317757009
24634510#0,62,0.014485981308411215
24634510#1,67,0.015654205607476636
24634510#16,50,0.011682242990654205
24634510#6,60,0.014018691588785047
24634510#7,58,0.013551401869158878
24634510#9,52,0.012149532710280374
24634511,9,0.002102803738317757
24634513#0,12,0.002803738317757009
24634513#6,3,0.0007009345794392523
24634514#0,1,0.00023364485981308412
24634516#0,0,0.0
24634516#1,2,0.00046728971962616824
24634516#2,2,0.00046728971962616824
24634517#1,10,0.002336448598130841
24634517#13,5,0.0011682242990654205
24634517#17,0,0.0
24634517#18,0,0.0
24634517#19,0,0.0
24634517#4,8,0.001869158878504673
24634517#6,8,0.001869158878504673
24634517#8,6,0.0014018691588785046
24634517#9,7,0.0016355140186915889
24634518#0,1,0.00023364485981308412
24634518#1,0,0.0
24634518#2,0,0.0
24634519,2,0.00046728971962616824
24634521#0,0,0.0
24634521#1,0,0.0
24634521#2,1,0.00023364485981308412
24693977#0,298,0.06962616822429907
24693977#1,303,0.07079439252336449
25117391#0,79,0.018457943925233644
25117391#2,81,0.018925233644859814
25117417#0,0,0.0
25117417#1,1,0.00023364485981308412
25122731#0,33,0.007710280373831775
25136986,6,0.0014018691588785046
25145011#0,0,0.0
25145011#1,1,0.00023364485981308412
25145012#0,5,0.0011682242990654205
25145012#1,6,0.0014018691588785046
25145012#2,5,0.0011682242990654205
25145012#3,8,0.001869158878504673
25145012#4,8,0.001869158878504673
25145012#5,202,0.04719626168224299
25145012#6,199,0.04649532710280374
25145012#7,212,0.04953271028037383
25145013#0,137,0.032009345794392526
25145013#1,138,0.032242990654205606
25145014#0,2,0.00046728971962616824
25145014#1,4,0.0009345794392523365
25145014#2,3,0.0007009345794392523
25145014#3,8,0.001869158878504673
25145014#4,8,0.001869158878504673
25149001#4,6,0.0014018691588785046
25149001#5,6,0.0014018691588785046
25149219#1,82,0.019158878504672898
25187889,3,0.0007009345794392523
25187891,2,0.00046728971962616824
25187892,1,0.00023364485981308412
25187893,3,0.0007009345794392523
25187895#0,0,0.0
25187895#1,0,0.0
25187896,0,0.0
25190140#1,10,0.002336448598130841
25190140#2,10,0.002336448598130841
25209894#0,0,0.0
25209894#1,5,0.0011682242990654205
26642362#0,6,0.0014018691588785046
26642362#1,8,0.001869158878504673
26642362#2,12,0.002803738317757009
26642362#3,12,0.002803738317757009
26642362#4,14,0.0032710280373831778
26642363,2,0.00046728971962616824
266565295#5,182,0.04252336448598131
26676668,2,0.00046728971962616824
26677213#0,14,0.0032710280373831778
26677214#0,10,0.002336448598130841
26677214#3,11,0.0025700934579439253
26677214#4,6,0.0014018691588785046
26677214#5,7,0.0016355140186915889
26677216#0,2,0.00046728971962616824
26677216#1,12,0.002803738317757009
26677216#2,12,0.002803738317757009
26677216#3,6,0.0014018691588785046
26677416#0,0,0.0
26677416#1,0,0.0
26677416#2,5,0.0011682242990654205
26677416#3,13,0.0030373831775700934
26677416#4,15,0.0035046728971962616
26677417#0,0,0.0
26677417#1,0,0.0
26677539,1,0.00023364485981308412
26677540#0,5,0.0011682242990654205
26677540#1,8,0.001869158878504673
26677540#2,7,0.0016355140186915889
26677541,6,0.0014018691588785046
26677542#0,15,0.0035046728971962616
26677542#1,11,0.0025700934579439253
26678225,0,0.0
272042143,257,0.060046728971962615
272042145,212,0.04953271028037383
27920078#0,6,0.0014018691588785046
27920078#1,6,0.0014018691588785046
28111977#0,4,0.0009345794392523365
28111977#1,0,0.0
28111977#10,3,0.0007009345794392523
28111977#2,0,0.0
28111977#3,0,0.0
28111977#4,0,0.0
28111977#5,0,0.0
28111977#6,0,0.0
28111977#7,0,0.0
28111977#8,1,0.00023364485981308412
28111977#9,3,0.0007009345794392523
28319300#0,11,0.0025700934579439253
28319300#3,14,0.0032710280373831778
28361235#0,70,0.016355140186915886
285549250#0,234,0.054672897196261686
285716192#0,164,0.038317757009345796
285716192#0.83,159,0.037149532710280375
286646456#0,125,0.029205607476635514
286646456#1,232,0.05420560747663551
29236658#2,0,0.0
30482614,34,0.00794392523364486
30482615#1,34,0.00794392523364486
306240162#0,362,0.08457943925233645
306431419,13,0.0030373831775700934
306431420,1,0.00023364485981308412
31395281,3,0.0007009345794392523
315358242#0,316,0.07383177570093458
315358242#1,316,0.07383177570093458
315358242#2,314,0.07336448598130842
315358242#3,334,0.0780373831775701
315358244,261,0.060981308411214956
315358245.27,276,0.06448598130841121
315358246,307,0.07172897196261682
315358248#0,267,0.06238317757009346
315358250#0,255,0.05957943925233645
315358250#1,189,0.0441588785046729
315358251#1,14,0.0032710280373831778
315358252#0,306,0.07149532710280374
315358253#0,267,0.06238317757009346
315358253#1,272,0.06355140186915888
315358253#2,273,0.06378504672897196
315358254#0,142,0.033177570093457946
315358255#0,232,0.05420560747663551
315358257#0,551,0.12873831775700934
315358257#0.43,548,0.1280373831775701
315392062#0,300,0.07009345794392523
31860333#0,2,0.00046728971962616824
31860333#1,2,0.00046728971962616824
31860333#2,0,0.0
31860333#3,0,0.0
31860333#4,1,0.00023364485981308412
32021112#0,259,0.06051401869158878
32124634,0,0.0
32124637#0,6,0.0014018691588785046
32124637#1,183,0.04275700934579439
32124743,162,0.03785046728971963
32124744,163,0.03808411214953271
32395288#0,1,0.00023364485981308412
32395288#2,0,0.0
32395288#3,0,0.0
32395327#0,1,0.00023364485981308412
32395352#0,0,0.0
32395361#0,1,0.00023364485981308412
32395414#0,0,0.0
32395414#1,0,0.0
32395464,0,0.0
32978638#0,254,0.05934579439252336
32999110#0,265,0.06191588785046729
32999434#0,283,0.0661214953271028
32999435,179,0.04182242990654206
36962701#0,0,0.0
36962701#1,0,0.0
37386279,1,0.00023364485981308412
37681424#0,11,0.0025700934579439253
37681424#1,13,0.0030373831775700934
37681425#0,1,0.00023364485981308412
37681425#5,2,0.00046728971962616824
37681425#7,39,0.00911214953271028
379897806,257,0.060046728971962615
379897807,8,0.001869158878504673
386687232#0,480,0.11214953271028037
386687235,501,0.11705607476635514
386687239#0,430,0.10046728971962617
386687239#1,431,0.10070093457943925
386687242,404,0.09439252336448598
391891458#0,82,0.019158878504672898
399835085#0,153,0.03574766355140187
399835085#1,188,0.04392523364485981
402600768#0,218,0.05093457943925234
402600768#1,402,0.09392523364485982
40888351#0,4,0.0009345794392523365
40888351#1,6,0.0014018691588785046
40888351#3,21,0.004906542056074766
40888354#0,11,0.0025700934579439253
